City,Longitude,Latitude,Distance
Kotelnich,48.336322,58.324001,0.0297321374946
La Rochelle,-1.152791,46.147803,0.0192353840617
Bergamo,9.504475,45.516111,0.247814446714
Xiangtai,114.579005,37.418942,0.377361895268
-,1.208692,43.288232,0.410249923827
-,-0.685349,42.201175,0.587899651301
Ishim,69.19715,56.215008,0.261216385397
-,56.669034,57.492472,0.290644112275
Lazaro Cardenas,-102.189202,17.933887,0.0273130005675
Warrnambool,142.261522,-38.835378,0.500288916527
Tbilisi,44.814368,41.702671,0.0318276609257
Karachi,66.990009,24.869992,0.0
Maragheh,45.858683,37.533185,0.37827238863
Dzuunharaa,106.754858,48.823399,0.291341723754
Wuwei,102.573806,37.977219,0.0830060238778
Bishkek,74.585204,42.873079,0.0
Weihai,122.231344,37.81898,0.344850692329
Bridgetown,-43.351775,24.268103,19.7289072429
-,9.664427,47.35469,0.191971352029
Makhambet,51.080543,47.252262,0.651584223259
