,0,1,2,3
195,195.0,"527,1371,527,1371,527,1371,527,1371","67.8109242722,2.18777413055,67.8109242722,2.18777413055,67.8109242722,2.18777413055,67.8109242722,2.18777413055","2,2,1,1,2,2,2,2"
196,196.0,"66,1339","7.13607101125,31.0027575783","1,1"
197,197.0,"940,1436","1007.84703031,1243.6982942","3,3"
198,198.0,"398,442,398,442,398,442,398,442","22.8008784204,40.418333905,22.8008784204,40.418333905,22.8008784204,40.418333905,22.8008784204,40.418333905","2,2,1,1,2,2,2,2"
199,199.0,"1083,933,1083,933,1083,933,1083,933","21.5702827616,27.8555026772,21.5702827616,27.8555026772,21.5702827616,27.8555026772,21.5702827616,27.8555026772","2,2,1,1,2,2,2,2"
200,200.0,"1108,358","150.077105025,98.8410961119","1,1"
201,201.0,"1105,123","75.1727658561,13.6041852454","3,3"
202,202.0,"930,100,930,100,930,100,930,100","13.1340299127,26.0858345465,13.1340299127,26.0858345465,13.1340299127,26.0858345465,13.1340299127,26.0858345465","2,2,1,1,2,2,2,2"
203,203.0,"358,894","18.1021215688,20.0725246837","1,1"
204,204.0,"849,1165","56.1002429838,38.8725952677","1,1"
205,205.0,"1331,905","1.96377050156,2.20499019488","3,3"
206,206.0,"1436,478,1424","127.952833411,2769.51555037,286.787347348","3,3,3"
207,207.0,"295,337","63.4065476399,87.8860858332","1,1"
208,208.0,"896,1173","64.3377063675,61.3173926991","1,1"
209,209.0,"1055,258","47.4198944456,69.1869149289","1,1"
210,210.0,"182,1315,854","56.1226614756,18.8336401797,29.7344510803","3,3,3"
211,211.0,"803,1376,803,1376,803,1376,803,1376","44.2835062436,41.3844199354,44.2835062436,41.3844199354,44.2835062436,41.3844199354,44.2835062436,41.3844199354","2,2,1,1,2,2,2,2"
212,212.0,"293,1244,293,1244","55.2157007121,53.4195992159,55.2157007121,53.4195992159","1,1,2,2"
213,213.0,772,222.064831538,3
214,214.0,"1259,1275","141.978187051,44.5829857989","1,1"
215,215.0,"596,130,770","243.505424495,217.974431639,337.744355373","4,4,4"
216,216.0,"161,987","75.6944438699,105.072468158","4,4"
217,217.0,"1107,339","232.93715677,255.891066652","1,1"
218,218.0,"1170,541,123,541,1170,541,1170,541","2.94839652686,1.53871880435,2.95558111081,1.53871880435,2.94839652686,1.53871880435,2.94839652686,1.53871880435","2,2,1,1,2,2,2,2"
219,219.0,"1201,800","423.94922285,95.8584231441","1,1"
220,220.0,"694,1154,336","44.9453877588,364.736896683,25.4413578996","3,3,3"
221,221.0,"430,733","125.742377064,145.721210151","1,1"
222,222.0,"1405,616","0.24859427742,38.3009841706","1,1"
223,223.0,"1359,224,1359,224,1359,224,1359,224","3.7292816671,2.41662842693,3.7292816671,2.41662842693,3.7292816671,2.41662842693,3.7292816671,2.41662842693","2,2,1,1,2,2,2,2"
224,224.0,"223,1023,223,1023,223,1023,223,1023","2.41662842693,1.71662421041,2.41662842693,1.71662421041,2.41662842693,1.71662421041,2.41662842693,1.71662421041","2,2,1,1,2,2,2,2"
225,225.0,"230,765","265.348541189,173.24891655","4,4"
226,226.0,"102,1347,1211","735.033236595,650.889328334,81.8168139162","3,3,3"
227,227.0,"1406,969,553","516.024749584,364.931080236,2601.57634573","3,3,3"
228,228.0,"391,1095,391,1095,391,1095,1095,391","408.181375058,65.8121357706,408.181375058,65.8121357706,408.181375058,65.8121357706,65.8121357706,408.181375058","2,2,1,1,2,2,2,2"
